Company Name,Founded,Headquarters,Key People,Products,Revenue,Number of Employees,Website,,,
JPMorgan Chase & Co.,Start date and age|2000|12|1<!--This article is about the company formed in 2000 following the merger of Chase Manhattan Corporation and J.P. Morgan & Co.-->,"New York City, United States","Unbulleted list
   | Jamie Dimon (chairman & Chief executive officer|CEO)
   | Daniel E. Pinto (President (corporate title)|president & Chief operating officer|COO)",ubl | Asset management | Banking | Commodities | Credit cards | Equities trading | Insurance | Investment management | Mortgage loans | Mutual funds | Exchange-traded funds | Index funds | Private equity | Risk management | Wealth management,increase US$|158.1&nbsp,billion|link=yes (2023),309926,URL|https://jpmorganchase.com,,
Berkshire Hathaway Inc.,Start date and age|1839,"Omaha, Nebraska, U.S.","Unbulleted list
 | Warren Buffett (Chairman|Chair & Chief executive officer|CEO)
 | Greg Abel (Vice chairman|Vice chair, non-insurance)
 | Ajit Jain (Vice Chairman|Vice chair, insurance)","collapsible list|Insurance#Types|Property & casualty insurance|Reinsurance|Rail transport|electric power industry|Electric power|Natural gas|Real estate services|Industrial parts & materials|Mobile homes|Building materials|Recreational vehicles|Apparel|Retail stores & services|Aviation services<ref>2023 Annual Report, ""Item 1: Business Description""</ref>",increase US$|364.5 billion|link=yes (2023),"396,500 (2023)",URL|berkshirehathaway.com,,,
China Construction Bank,,", ","Wang Hongzhang (Chairman), Zhang Jianguo (President (corporate title)|President), Xin Shusen (Vice President)",hlist| Retail banking|Consumer banking | Commercial bank|corporate banking | investment banking | insurance | private banking | private equity | mortgage loans | credit cards | investment management | wealth management | asset management | mutual funds| exchange-traded funds| index funds,"Increase CNY|link=yes|633.77 billion<br>$175.1&nbsp;billion small|(2020)<ref name=""ar2018"">cite web|title=Annual Report 2018|url=http://en.ccb.com/en/newinvestor/upload/20190429_1556547562/20190429222208956602.pdf|date=27 March 2019|publisher=China Construction Bank Corporation|access-date=29 May 2019|language=en|archive-url=https://web.archive.org/web/20190530023532/http://en.ccb.com/en/newinvestor/upload/20190429_1556547562/20190429222208956602.pdf|archive-date=30 May 2019|url-status=live</ref><ref name=""icbc-ltd.com"">cite web|url=https://www.google.com/finance/quote/601939:SHA?fstype=ii&ei=UMRrUNDoDMO0kAXBuwE|title=SHA:601939 - Google Search|website=Google.com|access-date=4 December 2017|archive-url=https://web.archive.org/web/20160404050406/http://www.google.com/finance?q=SHA:601939&fstype=ii&ei=UMRrUNDoDMO0kAXBuwE|archive-date=4 April 2016|url-status=live</ref>","345,971 small|(2018)<ref name=""ar2018"" />",,,,
"Apples, with skin (edible parts)",,", ",,,,,,,,
Banc of America Securities,1998 (via the merger of BankAmerica & NationsBank),"Charlotte, North Carolina, United States","Ken Lewis (executive)|Kenneth D. Lewis, President",,,,URL|bankofamerica.com,,,
Agricultural Bank of China,,", ",Zhao Huan (President (Corporation)|President),hlist| Retail banking|Consumer banking | Commercial bank|corporate banking | investment banking | insurance | private banking | private equity | mortgage loans | credit cards | investment management | wealth management | asset management | mutual funds| exchange-traded funds| index funds,"Increase CNY|link=yes|602.56 billion<br/><small>$153.9&nbsp;billion small|(2020)</small><ref name=""ar2018"">cite web|title=Annual Report 2018|url=http://www.abchina.com/en/investor-relations/performance-reports/annual-reports/201903/P020190426660343964246.zip|date=26 April 2019|publisher=Agricultural Bank of China Limited|access-date=29 May 2019|language=en|archive-url=https://web.archive.org/web/20190531022834/http://www.abchina.com/en/investor-relations/performance-reports/annual-reports/201903/P020190426660343964246.zip|archive-date=31 May 2019|url-status=live</ref><ref name=""abc-ltd.com"">cite web|url=https://www.google.com/finance/quote/601288:SHA?fstype=ii&ei=MZ11WbmQLM6KepnHvdAI|title=Financial Statements for Agricultural Bank of China Ltd - Google Finance</ref>","Decrease 467,631 small|(2020)<ref>Cite web |url =https://fortune.com/company/agricultural-bank-of-china/global500/ |title = Agricultural Bank of China at Fortune's website</ref>",,,,
"Samsung Electronics Co., Ltd.",,"Yeongtong District, Suwon, South Korea<ref name=""Articles of incorporation"">Cite web |title=Articles of incorporation |url=http://www.samsung.com/us/aboutsamsung/ir/corporategovernance/articlesofincorporation/IR_ArticlesChapter1.html |url-status=dead |archive-url=https://web.archive.org/web/20160508182346/http://www.samsung.com/us/aboutsamsung/ir/corporategovernance/articlesofincorporation/IR_ArticlesChapter1.html |archive-date=8 May 2016 |publisher=Samsung</ref>","plainlist|
* Lee Jae-yong (businessman)|Lee Jae-yong (executive chairman)
* Han-Jo Kim (chairman of the board and independent director)
* [https://www.samsung.com/global/ir/governance-csr/board-of-directors/profile/#ir-panel1 Jong-Hee Han] (vice chairman and Chief executive officer|CEO (DX))
* [https://www.samsung.com/global/ir/governance-csr/board-of-directors/profile/#ir-panel2 Kye-Hyun Kyung] (President (corporate title)|president and CEO (DS))",#Products|See products listing,decrease US$|198.247 billion|link=yes (2023),"270,372 (2023)",,,,
Bank of China (Canada),"18 May 1993<ref name=""About us"" />","50 Minthorn Boulevard<br/>Markham, Ontario|Markham, Ontario, Canada",GE Haijiao (Chairman & President (Corporation)|President),hlist| Retail banking|Consumer banking | Commercial bank|corporate banking | investment banking | insurance | private banking | private equity | mortgage loans | credit cards | investment management | wealth management | asset management | mutual funds| exchange-traded funds| index funds,"Increase CNY|link=yes|503.81 billion<br><small>$73.23&nbsp;billion</small><ref name=""ar2018"">cite web|title=Annual Report 2018|url=http://pic.bankofchina.com/bocappd/report/201903/P020190329601110675116.pdf|publisher=Bank of China Limited|access-date=2 June 2019|language=en|archive-url=https://web.archive.org/web/20190602055630/http://pic.bankofchina.com/bocappd/report/201903/P020190329601110675116.pdf|archive-date=2 June 2019|url-status=live</ref>","306,322<ref>中国银行股份有限公司, [https://pic.bankofchina.com/bocappd/report/202203/P020220329651388848178.pdf ""中国银行股份有限公司2021年年度报告""] Webarchive|url=https://web.archive.org/web/20220517002942/https://pic.bankofchina.com/bocappd/report/202203/P020220329651388848178.pdf |date=17 May 2022 , ''中国银行股份有限公司'', 29 March 2022. p 69. Retrieved 2022-05-16.</ref>",URL|www.bankofchina.com/ca,,,
Microsoft Corporation,"Start date and age|1975|04|04 in Nowrap|Albuquerque, New Mexico, U.S.","nowrap|Redmond, Washington, U.S.",ubl|Satya Nadella (chairman & Chief executive officer|CEO)|Brad Smith (American lawyer)|Brad Smith (Vice-Chairman|vice chairman & President (corporate title)|president)|Bill Gates<!-- Please do not link, this has been already linked. See WP:OVERLINK --> (Adviser|technical adviser),"Unbulleted list
| Software development
| Computer hardware
| Consumer electronics
| Social networking service
| Cloud computing
| Video game industry|Video games
| Internet
| Corporate venture capital",Increase US$|245.1nbspbillion,228000,url|https://www.microsoft.com/|microsoft.com,,
Citigroup Inc.,,", ",ubl|John C. Dugan<br>small|(Chairman)|Viswas Raghavan<br>small|(Executive Vice Chairman)|Jane Fraser (executive)|Jane Fraser<br>small|(CEO)|Mark Mason (executive)|Mark Mason<br>small|(CFO),ubl | Asset management | Banking | Commodities | Credit cards | Equities trading | Insurance | Investment management | Mortgage loans | Mutual funds | Exchange-traded funds | Index funds | Private equity | Risk management | Wealth management,increase US$|78.46&nbsp,billion (2023),"circa|239,000 (2023)",URL|https://citigroup.com,,
